id,expected_label,predicted_label,raw_score,final_score,decision_source,security_adjustments,content_signals,elapsed_ms,category,correct
phisharg-eval-0001,legitimate,legitimate,0.012792197136219652,0.012792197136219652,model_only,[],[],54.14629999995668,internal_communication,True
phisharg-eval-0002,phishing,phishing,0.9867534384678361,0.9867534384678361,content_security_rule,[],"[{""description"": ""El mensaje pide enviar o compartir contraseñas, claves o códigos de autenticación."", ""rule"": ""credential_disclosure_request""}]",35.10550000009971,tax_impersonation,True
phisharg-eval-0003,phishing,phishing,0.9827520458377079,1.0,model_and_security_rules,"[{""delta"": 0.15, ""description"": ""SPF fail: el remitente no está autorizado por el dominio"", ""rule"": ""spf_fail""}, {""delta"": 0.1, ""description"": ""DKIM fail: la firma digital del correo es inválida"", ""rule"": ""dkim_fail""}, {""delta"": 0.15, ""description"": ""DMARC fail: la política de autenticación del dominio no se cumplió"", ""rule"": ""dmarc_fail""}, {""delta"": 0.1, ""description"": ""Discrepancia entre From y Return-Path: posible spoofing"", ""rule"": ""return_path_mismatch""}]",[],26.34479999960604,bank_impersonation,True
phisharg-eval-0004,legitimate,legitimate,0.012728087481089612,0.0,model_and_security_rules,"[{""delta"": -0.1, ""description"": ""Correo autenticado como interno de la organización"", ""rule"": ""internal_auth""}, {""delta"": -0.15, ""description"": ""Todas las verificaciones de autenticación y spoofing pasaron correctamente"", ""rule"": ""all_checks_pass""}]",[],22.915200000170444,internal_communication,True
phisharg-eval-0005,legitimate,legitimate,0.012795628672022608,0.012795628672022608,model_only,[],[],23.221899999953166,technical_email,True
phisharg-eval-0006,legitimate,legitimate,0.012797268330480727,0.012797268330480727,model_and_security_rules,[],[],21.015999999690393,internal_communication,True
phisharg-eval-0007,legitimate,legitimate,0.012782022483608713,0.0,model_and_security_rules,"[{""delta"": -0.1, ""description"": ""Correo autenticado como interno de la organización"", ""rule"": ""internal_auth""}, {""delta"": -0.15, ""description"": ""Todas las verificaciones de autenticación y spoofing pasaron correctamente"", ""rule"": ""all_checks_pass""}]",[],26.24759999980597,legitimate_invoice,True
phisharg-eval-0008,legitimate,legitimate,0.2354046182775455,0.0,model_and_security_rules,"[{""delta"": -0.1, ""description"": ""Correo autenticado como interno de la organización"", ""rule"": ""internal_auth""}, {""delta"": -0.15, ""description"": ""Todas las verificaciones de autenticación y spoofing pasaron correctamente"", ""rule"": ""all_checks_pass""}]",[],29.86440000040602,internal_communication,True
phisharg-eval-0009,legitimate,legitimate,0.012895175950985938,0.0,model_and_security_rules,"[{""delta"": -0.15, ""description"": ""Todas las verificaciones de autenticación y spoofing pasaron correctamente"", ""rule"": ""all_checks_pass""}]",[],28.845599999840488,technical_email,True
phisharg-eval-0010,legitimate,legitimate,0.06143818990176608,0.0,model_and_security_rules,"[{""delta"": -0.15, ""description"": ""Todas las verificaciones de autenticación y spoofing pasaron correctamente"", ""rule"": ""all_checks_pass""}]",[],24.481000000378117,other_legitimate,True
phisharg-eval-0011,phishing,phishing,0.9868426510442903,1.0,model_and_security_rules,"[{""delta"": 0.05, ""description"": ""SPF softfail: el dominio no prohíbe explícitamente este remitente (común en reenvíos)"", ""rule"": ""spf_softfail""}, {""delta"": 0.1, ""description"": ""DKIM fail: la firma digital del correo es inválida"", ""rule"": ""dkim_fail""}, {""delta"": 0.15, ""description"": ""DMARC fail: la política de autenticación del dominio no se cumplió"", ""rule"": ""dmarc_fail""}, {""delta"": 0.05, ""description"": ""Reply-To apunta a un dominio diferente al remitente"", ""rule"": ""reply_to_mismatch""}]",[],38.11589999986609,bank_impersonation,True
phisharg-eval-0012,phishing,phishing,,1.0,critical_security_rule,[],[],0.009500000487605575,bank_impersonation,True
phisharg-eval-0013,phishing,phishing,,1.0,critical_security_rule,[],[],0.0029000002541579306,bank_impersonation,True
phisharg-eval-0014,phishing,phishing,0.012772150748256328,0.95,content_security_rule,"[{""delta"": 0.05, ""description"": ""SPF softfail: el dominio no prohíbe explícitamente este remitente (común en reenvíos)"", ""rule"": ""spf_softfail""}, {""delta"": 0.12, ""description"": ""SCL=8: Microsoft lo clasifica como spam probable"", ""rule"": ""scl_medium""}]","[{""description"": ""El mensaje pide enviar o compartir contraseñas, claves o códigos de autenticación."", ""rule"": ""credential_disclosure_request""}]",24.34559999983321,credential_theft,True
